,weblink,price,ad_date,ad_views,brand,model,year,dict_params,city,generation,body,engine,mileage,transmission,drivetrain,drive,body_color,customs_cleared,engine_volume,fuel_type,damaged
2335,https://kolesa.kz/a/show/155569276,19200000.0,3 июля,188,Hyundai,Tucson,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (NX4)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '19 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (NX4),кроссовер,2.5 (бензин),19.0,автомат,полный привод,слева,,Да,2.5,бензин,0
2336,https://kolesa.kz/a/show/153252103,19200000.0,2 июля,8,Volkswagen,ID.4,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'кроссовер', 'Двигатель': 'электрический', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'серый металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 1 поколение,кроссовер,,,автомат,полный привод,слева,серый металлик,Да,,,0
2337,https://kolesa.kz/a/show/155394187,19200000.0,26 июня,54,Hyundai,Tucson,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (NX4)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'красный металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (NX4),кроссовер,2.5 (бензин),,автомат,полный привод,слева,красный металлик,Да,2.5,бензин,0
2338,https://kolesa.kz/a/show/155394187,19200000.0,26 июня,55,Hyundai,Tucson,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (NX4)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'красный металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (NX4),кроссовер,2.5 (бензин),,автомат,полный привод,слева,красный металлик,Да,2.5,бензин,0
2339,https://kolesa.kz/a/show/154244796,19200000.0,30 июня,3169,Kia,Stinger,2023.0,"{'Город': 'Алматы', 'Поколение': '2017 - н.в. 1 поколение', 'Кузов': 'лифтбек', 'Объем двигателя, л': '2 (бензин)', 'Пробег': '4 300 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}",Алматы,2017 - н.в. 1 поколение,лифтбек,2 (бензин),4300.0,автомат,полный привод,слева,,Да,2.0,бензин,0
2340,https://kolesa.kz/a/show/154991227,19200000.0,30 июня,154,Hyundai,Santa Fe,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение рестайлинг', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'серый металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение рестайлинг,кроссовер,2.5 (бензин),,автомат,полный привод,слева,серый металлик,Да,2.5,бензин,0
2341,https://kolesa.kz/a/show/155389855,19200000.0,3 июля,28,Hyundai,Tucson,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (NX4)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (NX4),кроссовер,2.5 (бензин),,автомат,полный привод,слева,белый металлик,Да,2.5,бензин,0
2342,https://kolesa.kz/a/show/154863939,19200000.0,29 июня,72,Mitsubishi,L200,2023.0,"{'Город': 'Актау', 'Поколение': '2018 - н.в. 5 поколение рестайлинг (KJ/KK/KL)', 'Кузов': 'пикап', 'Объем двигателя, л': '2.4 (дизель)', 'Пробег': '21 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'коричневый', 'Растаможен в Казахстане': 'Да'}",Актау,2018 - н.в. 5 поколение рестайлинг (KJ/KK/KL),пикап,2.4 (дизель),21.0,автомат,полный привод,слева,коричневый,Да,2.4,дизель,0
2343,https://kolesa.kz/a/show/154628464,19200000.0,30 июня,189,Hyundai,Tucson,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (NX4)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (NX4),кроссовер,2.5 (бензин),,автомат,полный привод,слева,,Да,2.5,бензин,0
2344,https://kolesa.kz/a/show/155280802,19300000.0,3 июля,1463,Changan,UNI-K,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 1 поколение,кроссовер,2 (бензин),,автомат,полный привод,слева,белый металлик,Да,2.0,бензин,0
